16:29:29  [main] 	Initializing Control Panel
16:29:29  [main] 	Windows Version:  Enterprise  64-bit
16:29:29  [main] 	XAMPP Version: 8.2.12
16:29:29  [main] 	Control Panel Version: 3.3.0  [ Compiled: Apr 6th 2021 ]
16:29:29  [main] 	You are not running with administrator rights! This will work for
16:29:29  [main] 	most application stuff but whenever you do something with services
16:29:29  [main] 	there will be a security dialogue or things will break! So think 
16:29:29  [main] 	about running this application with administrator rights!
16:29:29  [main] 	XAMPP Installation Directory: "c:\xampp\"
16:29:29  [main] 	Checking for prerequisites
16:29:30  [main] 	All prerequisites found
16:29:30  [main] 	Initializing Modules
16:29:30  [main] 	Starting Check-Timer
16:29:30  [main] 	Control Panel Ready
16:29:33  [Apache] 	Attempting to start Apache app...
16:29:33  [Apache] 	Status change detected: running
16:29:38  [mysql] 	Attempting to start MySQL app...
16:29:38  [mysql] 	Status change detected: running
16:29:39  [mysql] 	Status change detected: stopped
16:29:39  [mysql] 	Error: MySQL shutdown unexpectedly.
16:29:39  [mysql] 	This may be due to a blocked port, missing dependencies, 
16:29:39  [mysql] 	improper privileges, a crash, or a shutdown by another method.
16:29:39  [mysql] 	Press the Logs button to view error logs and check
16:29:39  [mysql] 	the Windows Event Viewer for more clues
16:29:39  [mysql] 	If you need more help, copy and post this
16:29:39  [mysql] 	entire log window on the forums
16:29:41  [mysql] 	Attempting to start MySQL app...
16:29:41  [mysql] 	Status change detected: running
16:29:43  [mysql] 	Status change detected: stopped
16:29:43  [mysql] 	Error: MySQL shutdown unexpectedly.
16:29:43  [mysql] 	This may be due to a blocked port, missing dependencies, 
16:29:43  [mysql] 	improper privileges, a crash, or a shutdown by another method.
16:29:43  [mysql] 	Press the Logs button to view error logs and check
16:29:43  [mysql] 	the Windows Event Viewer for more clues
16:29:43  [mysql] 	If you need more help, copy and post this
16:29:43  [mysql] 	entire log window on the forums
16:29:44  [mysql] 	Attempting to start MySQL app...
16:29:44  [mysql] 	Status change detected: running
16:29:46  [mysql] 	Status change detected: stopped
16:29:46  [mysql] 	Error: MySQL shutdown unexpectedly.
